Company Name,Company_url,salary,designation_list,location_list,qualification_list
RegalarTech Pvt. Ltd.,https://in.indeed.com/cmp/Regalartech-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gjlm1hcfkjjj800&fromjk=5de8c5d58b69386d,"₹30,000 - ₹80,000 a month",Python QGIS Developer,"RegalarTech Pvt. Ltd.Pune, Maharashtra",Python: 3 years (Required)
Foxberry Technology Pvt Ltd,https://in.indeed.com/cmp/Foxberry-Technology-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gjlm1r10kjia800&fromjk=fa240a0a1c475b12,"₹3,00,000 - ₹5,00,000 a year",Data Analyst-Tabaleu-Excel-Powerbi-1+years,"Foxberry Technology Pvt LtdPune, Maharashtra",NA
Consociate Solutions Pvt Ltd,https://in.indeed.com/cmp/Consociate-Solutions-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gjlm22okican800&fromjk=de7b550fb2210030,"₹9,000 - ₹10,000 a month",Python Backend Developer,"Consociate Solutions Pvt LtdPune, Maharashtra",Bachelor's (Preferred)Programming: 1 year (Preferred)total work: 1 year (Preferred)
